id,bnf_code,snomed_code
1,0101010C0AAAAAA,0
2,0101010C0AAAAAA,316937008
3,0101010C0AAACAC,0
4,0101010C0BBAAAA,0
5,0101010C0BBAAAA,429311000001109
6,0101010E0AAAEAE,0
7,0101010F0AAAUAU,0
8,0101010F0AAAUAU,8752711000001104
9,0101010F0AAAUAU,8794811000001106
10,0101010F0AABEBE,41066111000001100
11,0101010F0BCAAAU,0
12,0101010F0BCAAAU,21966711000001108
13,0101010F0BDAAAU,0
14,0101010F0BDAAAU,37072711000001105
15,0101010F0BEAAAU,40105511000001103
16,0101010G0AAABAB,0
17,0101010G0AAABAB,316964009
18,0101010G0AAABAB,42352611000001100
19,0101010G0AAACAC,0
20,0101010G0AAAGAG,0
21,0101010G0AAAGAG,34717411000001101
22,0101010G0BBABAB,0
23,0101010G0BBABAB,5055611000001107
24,0101010G0BBACAC,0
25,0101010G0BBAHAG,0
26,0101010G0BBAHAG,34715411000001107
27,0101010G0BCABAB,0
28,0101010G0BCABAB,6111000001104
29,0101010I0AAABAB,0
30,0101010I0AAABAB,8758011000001103
31,0101010I0AAABAB,8795711000001104
32,0101010I0AAACAC,0
33,0101010I0AAACAC,8756811000001108
34,0101010I0AAACAC,8795911000001102
35,0101010I0AAACAC,32610411000001104
36,0101010I0AAADAD,0
37,0101010I0AAADAD,8757911000001100
38,0101010I0AAAEAE,0
39,0101010I0AAAEAE,30769011000001100
40,0101010I0AAAHAH,0
41,0101010I0AAAHAH,8763311000001101
42,0101010I0AAAJAJ,0
43,0101010I0AAALAL,0
44,0101010I0AAALAL,21216311000001107
45,0101010I0AAALAL,36958911000001104
46,0101010I0AAAMAM,0
47,0101010I0AAATAT,0
48,0101010I0AAAUAU,0
49,0101010I0AAAXAX,0
50,0101010I0AAAXAX,20426011000001105
51,0101010I0AAAYAY,0
52,0101010I0AAAYAY,8764211000001107
53,0101010I0AAAYAY,8796411000001101
54,0101010I0AABGBG,0
55,0101010I0AABIBI,0
56,0101010I0AABIBI,16130811000001106
57,0101010I0AABIBI,20550011000001101
58,0101010I0AABPBP,0
59,0101010I0AABPBP,25048611000001102
60,0101010I0AABRBR,0
61,0101010I0AABRBR,35603511000001106
62,0101010I0AABSBS,0
63,0101010I0BCAABI,0
64,0101010I0BCAABI,16113611000001109
65,0101010I0BDAAAC,0
66,0101010I0BDABAB,0
67,0101010I0BDABAB,21551811000001109
68,0101010I0BEAAAC,0
69,0101010I0BEAAAC,21214811000001105
70,0101010I0BEABAL,0
71,0101010I0BFAAAE,0
72,0101010I0BFAAAE,30765811000001108
73,0101010I0BFABAB,0
74,0101010I0BFABAB,30766211000001101
75,0101010I0BFACAL,0
76,0101010I0BFACAL,30767211000001104
77,0101010I0BFADAC,0
78,0101010I0BFADAC,30766611000001104
79,0101010I0BFAEAY,0
80,0101010I0BFAEAY,30768011000001105
81,0101010I0BFAFBI,37056811000001104
82,0101010I0BGAAAB,0
83,0101010I0BHAAAB,34942811000001101
84,0101010I0BHABAC,0
85,0101010I0BHABAC,34943011000001103
86,0101010I0BHACAY,37908211000001103
87,0101010I0BJAAAB,38789611000001107
88,0101010I0BMAABI,39004711000001104
89,0101010I0BMABAL,42116611000001104
90,0101010J0AAAAAA,0
91,0101010J0AAAAAA,3080911000001109
92,0101010J0AAAAAA,3081411000001105
93,0101010J0AAAAAA,14609911000001108
94,0101010J0AAAHAH,0
95,0101010J0AAAHAH,4611000001103
96,0101010J0AAAHAH,300311000001103
97,0101010J0AAAHAH,873711000001103
98,0101010J0AAAHAH,18140711000001106
99,0101010J0AAAHAH,20583711000001100
100,0101010J0AAAHAH,34819511000001106
101,0101010J0AAAHAH,39034511000001103
102,0101010L0AAAAAA,0
103,0101010L0AAAIAI,0
104,0101010L0AAAIAI,3545911000001109
105,0101010L0BBABAA,0
106,0101010L0BBADA0,0
107,0101010L0BEAAAI,0
108,0101010L0BEAAAI,3190711000001104
109,0101010L0BEACA0,0
110,0101010L0BGACA0,0
111,0101010L0BGACA0,11770711000001108
112,0101010N0AAAAAA,0
113,0101010N0AAAAAA,10147411000001103
114,0101010N0AAABAB,0
115,0101010N0AAABAB,22253611000001102
116,0101010P0AAAAAA,0
117,0101010P0AAAAAA,3336211000001108
118,0101010P0BBAAAA,0
